,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,CX,CY,CS,USER
1972,745026,12243.19336,4889689010180,1751.1168,940.128,12242.55273,0.2793,7174,0,1.7678,1.3592899999999999,1,0.52095,0.48128999999999994,1,1.14437,0.9202899999999999,1,0.3173,0.6501,32.982659999999996,1.0,1,0.7197,0.73406,29.018620000000002,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00732,1,0.04145,-0.02557,0.57296,0.00644,1,0.49896,0.4963,0,0
1973,745027,12243.20996,4889689174009,1767.9616,955.2524800000001,12242.55273,0.2793,7174,0,1.7678,1.3592899999999999,1,0.52095,0.48128999999999994,1,1.14437,0.9202899999999999,1,0.31779,0.65005,33.21067,1.0,1,0.7205600000000001,0.734,28.588309999999996,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007379999999999999,1,0.04145,-0.02557,0.57296,0.006540000000000001,1,0.49896,0.4963,0,0
1974,745028,12243.22656,4889689338383,1685.7856000000002,906.9299199999999,12242.55273,0.2793,7174,0,1.32207,1.0881299999999998,1,0.5551699999999999,0.43978,1,0.9386200000000001,0.76395,1,0.31934,0.65115,32.78308,1.0,1,0.72167,0.73505,28.58715,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00731,1,0.04145,-0.02557,0.57296,0.00656,1,0.49896,0.4963,0,0
1975,745029,12243.24219,4889689502637,1619.2128,866.3385599999999,12242.55273,0.2793,7174,0,1.35388,1.0561,1,0.57018,0.48754,1,0.9620299999999999,0.77182,1,0.31992,0.6518,32.62148,1.0,1,0.7220300000000001,0.73582,28.79055,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007379999999999999,1,0.04145,-0.02557,0.57296,0.006540000000000001,1,0.49896,0.4963,0,0
1976,745030,12243.25879,4889689666814,1585.3056000000001,842.336,12242.55273,0.2793,7174,0,1.35388,1.0561,1,0.57018,0.48754,1,0.9620299999999999,0.77182,1,0.32044,0.65178,33.268,1.0,1,0.72272,0.73628,28.512190000000004,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007379999999999999,1,0.04145,-0.02557,0.57296,0.006529999999999999,1,0.49896,0.4963,0,0
1977,745031,12243.27539,4889689832338,1623.0016,865.34528,12242.55273,0.2793,7174,0,1.60697,1.29534,1,0.54676,0.42999,1,1.07687,0.86266,1,0.32161,0.65254,32.92398,1.0,1,0.72351,0.73692,28.70178,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007359999999999999,1,0.04145,-0.02557,0.57296,0.0066,1,0.49896,0.4963,0,0
1978,745032,12243.29199,4889689996519,1685.0944,912.6438400000001,12243.24219,0.0498,7175,1,1.9313900000000002,1.5740299999999998,1,0.49263,0.43087,1,1.21201,1.00245,1,0.32192,0.65279,32.89113,1.0,1,0.72383,0.73756,28.61528,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00735,1,0.04145,-0.02557,0.57296,0.00657,1,0.49896,0.4963,0,0
1979,745033,12243.30859,4889690159939,1748.1344,959.6864,12243.24219,0.0498,7175,0,1.9313900000000002,1.5740299999999998,1,0.49263,0.43087,1,1.21201,1.00245,1,0.32219000000000003,0.6533399999999999,32.762879999999996,1.0,1,0.72424,0.73775,28.7867,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.0074,1,0.04145,-0.02557,0.57296,0.00659,1,0.49896,0.4963,0,0
1980,745034,12243.3252,4889690324579,1670.7712000000001,913.2275199999999,12243.24219,0.0498,7175,0,1.44957,1.13852,1,0.54013,0.49971000000000004,1,0.99485,0.81912,1,0.32265,0.65394,32.985009999999996,1.0,1,0.72424,0.7387100000000001,28.72298,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007379999999999999,1,0.04145,-0.02557,0.57296,0.006520000000000001,1,0.49896,0.4963,0,0
1981,745035,12243.34082,4889690488508,1622.5919999999999,887.7811199999999,12243.24219,0.0498,7175,0,1.34994,1.0792,1,0.53482,0.50065,1,0.9423799999999999,0.78992,1,0.32274,0.6542399999999999,32.95874,1.0,1,0.72423,0.7387,28.81717,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007370000000000001,1,0.04145,-0.02557,0.57296,0.006520000000000001,1,0.49896,0.4963,0,0
1982,745036,12243.35742,4889690653140,1548.6336000000001,846.8416,12243.24219,0.0498,7175,0,1.34994,1.0792,1,0.53482,0.50065,1,0.9423799999999999,0.78992,1,0.32281,0.65382,33.30809,1.0,1,0.72419,0.73873,28.717990000000004,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007370000000000001,1,0.04145,-0.02557,0.57296,0.006529999999999999,1,0.49896,0.4963,0,0
1983,745037,12243.374020000001,4889690819705,1534.4256,810.21312,12243.24219,0.0498,7175,0,1.29085,1.00431,1,0.58448,0.45188999999999996,1,0.9376700000000001,0.7281,1,0.32282,0.65347,33.47509,1.0,1,0.72414,0.7377100000000001,28.71886,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00735,1,0.04145,-0.02557,0.57296,0.00658,1,0.49896,0.4963,0,0
1984,745038,12243.39062,4889690982815,1573.248,836.2022400000001,12243.24219,0.0498,7175,0,1.51715,1.1498700000000002,1,0.56239,0.5301600000000001,1,1.03977,0.8400200000000001,1,0.32198000000000004,0.6537,33.43161,1.0,1,0.72353,0.73755,28.79174,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00743,1,0.04145,-0.02557,0.57296,0.0066,1,0.49896,0.4963,0,0
1985,745039,12243.407229999999,4889691145831,1592.6656,849.1968,12243.35742,0.0498,7176,1,1.51715,1.1498700000000002,1,0.56239,0.5301600000000001,1,1.03977,0.8400200000000001,1,0.32164,0.65364,33.09052,1.0,1,0.72287,0.7369899999999999,28.660829999999997,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007379999999999999,1,0.04145,-0.02557,0.57296,0.00671,1,0.49896,0.4963,0,0
1986,745040,12243.42383,4889691312906,1643.2384,866.2873599999999,12243.35742,0.06641,7176,1,1.7623,1.4094200000000001,1,0.62133,0.36139,1,1.19181,0.8854,1,0.31938,0.6541100000000001,33.1315,1.0,1,0.72059,0.73703,28.96875,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007529999999999999,1,0.04145,-0.02557,0.57296,0.00671,1,0.49896,0.4963,0,TRIALSTART 0
1987,745041,12243.44043,4889691476999,1588.288,832.42368,12243.35742,0.08301,7176,1,0.9709,0.73561,1,0.58153,0.50481,1,0.77622,0.62021,1,0.3184,0.6549699999999999,32.852759999999996,1.0,1,0.7197399999999999,0.73748,29.07654,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00757,1,0.04145,-0.02557,0.57296,0.00665,1,0.49896,0.4963,0,TRIALSTART 0
1988,745042,12243.45605,4889691641603,1549.0432,808.22656,12243.35742,0.09863,7176,1,0.9709,0.73561,1,0.58153,0.50481,1,0.77622,0.62021,1,0.31787,0.65622,32.17058,1.0,1,0.71908,0.7371800000000001,28.69296,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007529999999999999,1,0.04145,-0.02557,0.57296,0.00673,1,0.49896,0.4963,0,TRIALSTART 0
1989,745043,12243.45703,4889691645767,1519.6032,790.0915200000001,12243.35742,0.09961,7176,1,0.9709,0.73561,1,0.58153,0.50481,1,0.77622,0.62021,1,0.31787,0.65622,32.17058,1.0,1,0.71908,0.7371800000000001,28.69296,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007529999999999999,1,0.04145,-0.02557,0.57296,0.00673,1,0.49896,0.4963,0,0
