               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.018248,             0.00939,                   0,                   1,             0.77778,             0.87383,             0.70245,            0.010591,           0.0043267,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,              0.0206,            0.010237,                   0,             0.99975,             0.77778,             0.86261,             0.75479,           0.0099586,           0.0042878,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,             0.02025,            0.010872,                   0,                   1,             0.88887,             0.92209,             0.80999,           0.0079229,           0.0030705,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.020818,           0.0099371,                   0,             0.99881,             0.88889,             0.91361,              0.8375,           0.0054286,           0.0030128,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,            0.020679,             0.01019,                   0,                   1,             0.88777,             0.91445,             0.84994,           0.0060128,           0.0030338,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.023552,            0.013777,                   0,             0.89999,             0.99988,             0.98435,             0.78901,           0.0082027,           0.0029764,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,            0.026489,           0.0086907,                   0,                   1,             0.88761,             0.97534,             0.52215,            0.014545,            0.003825,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.026185,           0.0097395,                   0,             0.81811,             0.99955,             0.96309,             0.69651,            0.011672,           0.0038009,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,            0.021949,           0.0098918,                   0,                 0.9,             0.99996,             0.96229,             0.75473,           0.0078883,            0.003559,                   0,            0.006293,            0.006293,            0.006293
                 145,            0.019839,            0.010451,                   0,             0.89999,             0.99993,             0.96234,             0.78547,           0.0067538,           0.0035779,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,            0.018356,            0.010549,                   0,             0.81817,             0.99993,              0.9509,             0.79964,           0.0062153,           0.0035793,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,             0.02097,            0.011927,                   0,             0.89999,             0.99994,             0.95129,              0.7686,            0.006418,            0.002883,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.018902,            0.008146,                   0,             0.89988,                   1,             0.95124,             0.79751,           0.0075518,           0.0027885,                   0,           0.0061256,           0.0061256,           0.0061256
                 149,            0.018988,           0.0078519,                   0,             0.89984,                   1,             0.97327,             0.83328,           0.0053372,           0.0027156,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,            0.018553,           0.0087141,                   0,             0.89999,             0.99988,             0.98428,             0.84697,           0.0057496,           0.0028264,                   0,           0.0060419,           0.0060419,           0.0060419
